date, pm25, pm10, o3, no2, so2, co
2019/6/8, 120, 64, 30, 12, 6, 8
2019/6/9, 120, 72, 23, 8, 6, 10
2019/6/10, 131, 62, 25, 7, 7, 9
2019/6/11, 79, 74, 25, 7, 7, 12
2019/6/12, 106, 54, 24, 7, 6, 12
2019/6/13, 78, 52, 27, 8, 6, 10
2019/6/14, 89, 60, 24, 7, 5, 9
2019/6/15, 106, 78, 23, 7, 6, 7
2019/6/16, 121, 61, 20, 9, 6, 9
2019/6/17, 83, 53, 17, 10, 5, 12
2019/6/18, 80, 47, 19, 5, 6, 11
2019/6/19, 72, 79, 21, 5, 3, 12
2019/6/20, 105, 87, 25, 4, 4, 7
2019/6/21, 133, 71, 26, 2, 3, 9
2019/6/22, 119, 82, 29, 1, 4, 6
2019/6/23, 122, 59, 25, 7, 3, 7
2019/6/24, 91, 75, 19, 6, 2, 9
2019/6/25, 119, 75, 16, 6, 3, 10
2019/6/26, 110, 71, 16, 6, 2, 10
2019/6/27, 117, 64, 14, 7, 3, 8
2019/6/28, 96, 64, 16, 7, 2, 7
2019/6/29, 115, 65, 17, 7, 2, 5
2019/6/30, 109, 51, 20, 7, 2, 7
2019/1/1, 150, 140, 24, 18, 7, 17
2019/1/2, 150, 156, 28, 20, 8, 17
2019/1/3, 156, 172, 23, 23, 8, 17
2019/1/4, 166, 136, 27, 20, 6, 14
2019/1/5, 157, 106, 29, 13, 5, 5
2019/1/6, 129, 132, 27, 18, 6, 13
2019/1/7, 165, 164, 2, 19, 7, 10
2019/1/8, 178, 254, 2, 48, 13, 30
2019/1/9, 179, 168, 13, 24, 8, 18
2019/1/10, 154, 161, 24, 23, 4, 16
2019/1/11, 166, 170, 22, 21, 8, 17
2019/1/12, 169, 147, 28, 20, 8, 12
2019/1/13, 166, 129, 29, 21, 7, 12
2019/1/14, 163, 155, 26, 21, 7, 18
2019/1/15, 166, 159, 28, 25, 7, 18
2019/1/16, 167, 155, 26, 23, 7, 18
2019/1/17, 163, 164, 26, 30, 8, 18
2019/1/18, 154, 150, 26, 29, 7, 17
2019/1/19, 157, 122, 29, 23, 6, 13
2019/1/20, 145, 128, 18, 14, 7, 12
2019/1/21, 138, 82, 13, 18, 6, 6
2019/1/22, 123, 102, 25, 22, 6, 9
2019/1/23, 119, 109, 26, 50, 6, 8
2019/1/24, 151, 74, 25, 53, 4, 12
2019/1/25, 105, 76, 27, 55, 6, 6
2019/1/26, 101, 86, 28, 6, 6, 6
2019/1/27, 115, 107, 17, 15, 6, 13
2019/1/28, 123, 154, 10, 45, 8, 16
2019/1/29, 157, 137, 25, 35, 7, 13
2019/1/30, 152, 131, 22, 27, 6, 15
2019/1/31, 155, 85, 28, 14, 6, 8
2019/2/1, 149, 79, 31, 18, 8, 9
2019/2/2, 116, 100, 37, 25, 8, 9
2019/2/3, 141, 146, 32, 38, 9, 16
2019/2/4, 171, 156, 25, 32, 7, 17
2019/2/5, 173, 106, 25, 20, 6, 7
2019/2/6, 134, 123, 27, 13, 5, 4
2019/2/7, 107, 130, 28, 12, 5, 6
2019/2/8, 134, 82, 32, 11, 6, 8
2019/2/9, 130, 91, 34, 7, 7, 11
2019/2/10, 138, 121, 28, 5, 7, 15
2019/2/11, 160, 155, 31, 6, 8, 19
2019/2/12, 154, 139, 32, 10, 8, 16
2019/2/13, 153, 97, 15, 10, 6, 10
2019/2/14, 111, 113, 37, 18, 6, 8
2019/2/15, 150, 102, 31, 31, 6, 11
2019/2/16, 148, 92, 33, 17, 6, 7
2019/2/17, 137, 87, 22, 15, 7, 9
2019/2/18, 152, 91, 19, 16, 6, 11
2019/2/19, 146, 112, 18, 24, 7, 14
2019/2/20, 140, 96, 20, 17, 5, 10
2019/2/21, 155, 78, 28, 14, 4, 7
2019/2/22, 118, 87, 36, 16, 6, 12
2019/2/23, 104, 110, 32, 12, 4, 9
2019/2/24, 163, 93, 28, 12, 3, 9
2019/2/25, 143, 91, 24, 9, 4, 7
2019/2/26, 146, 76, 27, 6, 5, 5
2019/2/27, 123, 78, 34, 8, 8, 9
2019/2/28, 127, 108, 31, 12, 9, 10
2019/3/1, 152, 119, 30, 13, 9, 16
2019/3/2, 157, 105, 24, 8, 7, 6
2019/3/3, 154, 104, 31, 7, 4, 6
2019/3/4, 160, 70, 32, 6, 5, 7
2019/3/5, 110, 77, 23, 10, 6, 10
2019/3/6, 133, 74, 28, 5, 7, 11
2019/3/7, 118, 67, 26, 6, 8, 9
2019/3/8, 142, 50, 30, 8, 6, 6
2019/3/9, 86, 59, 43, 3, 8, 6
2019/3/10, 114, 68, 17, 6, 6, 8
2019/3/11, 119, 64, 22, 10, 9, 9
2019/3/12, 76, 75, 16, 11, 8, 10
2019/3/13, 104, 63, 18, 9, 6, 7
2019/3/14, 90, 58, 19, 9, 17, 11
2019/3/15, 89, 62, 24, 9, 10, 8
2019/3/16, 88, 59, 25, 8, 9, 7
2019/3/17, 82, 54, 30, 11, 8, 11
2019/3/18, 73, 64, 26, 10, 8, 11
2019/3/19, 94, 56, 21, 8, 6, 7
2019/3/20, 82, 39, 27, 7, 5, 6
2019/3/21, 61, 53, 32, 8, 8, 8
2019/3/22, 79, 61, 38, 11, 9, 9
2019/3/23, 83, 69, 27, 9, 7, 9
2019/3/24, 101, 64, 18, 10, 6, 7
2019/3/25, 96, 61, 30, 8, 9, 11
2019/3/26, 94, 57, 35, 8, 7, 7
2019/3/27, 94, 68, 12, 12, 8, 14
2019/3/28, 132, 64, 16, 12, 6, 10
2019/3/29, 90, 59, 27, 14, 6, 9
2019/3/30, 87, 56, 35, 12, 7, 7
2019/3/31, 92, 59, 31, 16, 8, 9
2018/10/1, 109, 70, , 7, 2, 10
2018/10/2, 100, 71, , 7, 2, 11
2018/10/3, 105, 75, , 9, 3, 11
2018/10/4, 113, 74, , 14, 5, 15
2018/10/5, 119, 66, , 18, 2, 11
2018/10/6, 109, 74, , 19, 2, 10
2018/10/7, 117, 71, , 14, 2, 13
2018/10/8, 114, 79, , 8, 2, 12
2018/10/9, 131, 153, , 9, 2, 12
2018/10/10, 111, 112, , 9, 4, 12
2018/10/11, 138, 96, , 13, 2, 11
2018/10/12, 138, 84, , 13, 2, 11
2018/10/13, 124, 75, , 12, 3, 8
2018/10/14, 114, 270, , 13, 2, 12
2018/10/15, 103, 78, , 12, 3, 9
2018/10/16, 102, 73, , 12, 2, 9
2018/10/17, 100, 70, , 12, 4, 8
2018/10/18, 97, 66, , 11, 4, 10
2018/10/19, 91, 62, , 12, 4, 9
2018/10/20, 80, 68, , 15, 3, 9
2018/10/21, 85, 74, , 17, 10, 13
2018/10/22, 101, 72, , 14, 3, 11
2018/10/23, 126, 76, , 13, 2, 12
2018/10/24, 127, 63, , 12, 2, 9
2018/10/25, 86, 67, , 11, 3, 12
2018/10/26, 84, 68, , 11, 4, 9
2018/10/27, 88, 66, , 12, 4, 10
2018/10/28, 88, 73, , 15, 5, 14
2018/10/29, 98, 91, , 25, 6, 12
2018/10/30, 120, 126, , 33, 3, 15
2018/10/31, 148, 173, , 29, 6, 15
2018/11/1, 143, 103, , 24, 6, 16
2018/11/2, 107, 98, , 11, 4, 13
2018/11/3, 117, 122, , 9, 5, 9
2018/11/4, 138, 103, , 9, 6, 13
2018/11/5, 103, 117, , 9, 5, 11
2018/11/6, 130, 129, , 10, 7, 13
2018/11/7, 154, 259, , 10, 8, 12
2018/11/8, 236, 124, , 9, 6, 13
2018/11/9, 160, 118, , 9, 5, 15
2018/11/10, 161, 216, , 10, 6, 11
2018/11/11, 156, 119, , 9, 4, 16
2018/11/12, 154, 105, , 9, 5, 13
2018/11/13, 138, 106, , 7, 5, 13
2018/11/14, 142, 92, , 4, 4, 11
2018/11/15, 138, 159, , 11, 6, 14
2018/11/16, 163, 111, , 9, 5, 16
2018/11/17, 152, 117, , 8, 5, 13
2018/11/18, 151, 121, , 10, 5, 16
2018/11/19, 165, 141, , 12, 6, 17
2018/11/20, 181, 126, , 10, 5, 16
